1000	16.54
1003	46.4
1012	90.33
1013	400.0
1018	0.598
1022	17.2
1026	1.2
1040	0.18
1059	2.4
1060	0.9
1062	1.3
1063	0
1065	230
1068	277
1069	0
1070	0
1071	0
1072	0
1073	0
1074	0
1076	602.5
1077	1407
1078	1409
1079	415
1081	0
1082	0
1083	0
1084	454
1085	0
1086	0
1087	0
1088	0
1089	0
1090	181
1110	529
1123	1595
1127	0
1324	0
1325	0
1326	441.7
1329	433
1334	743
1336	441.8
1340	654.7
1341	397
1343	531.7
1344	0
1346	1384
1349	1145
1351	715
1354	744.5
1355	754
1356	523.4
1358	1045
1359	0
1360	0
1361	0
1362	0
1363	1036
1364	0
1366	0
1368	0
1369	1568
1370	0
1371	2051
1373	2190
1374	2611
1375	1239
1376	2003
1378	0
1426	0
1428	319
1429	451
1431	521.8
1433	0
1434	0
1435	1561
1436	582.2
1437	1209
1439	462
1441	501.4
1442	1251	
